,dp_opt,wopt,evecs,evals,evec_sim,dU,dp_diag,tdr_overall,pca,active,pair,snr1,snr2,cat_cat,tar_tar,cat_tar,ref_tar,ref_ref,ref_cat,aref_tar,aref_cat,aref_ref,f1,f2,DI,site,area
0,2.758895,"[[ 1.17078211]
 [-0.15393819]]","[[-0.1620025  -0.98679035]
 [-0.98679035  0.1620025 ]]",[7.377624   1.97298632],0.50955456,[[ 2.34300271 -0.10230846]],2.6245937,False,False,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,2.3201275,"[[ 0.05754954]
 [-1.04795775]]","[[ 0.99979937 -0.02003037]
 [ 0.02003037  0.99979937]]",[7.35100223 2.09991488],0.51923853,[[ 0.31272219 -2.19677801]],2.3185046,False,True,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,0.4112436,"[[-0.36502355]
 [-0.20104426]]","[[-0.0693012  -0.99759578]
 [-0.99759578  0.0693012 ]]",[4.56618316 1.45386201],0.4283451,[[-0.57940852 -0.99354157]],0.41124162,True,False,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.9221874,"[[ 0.70113733]
 [-0.41059357]]","[[-0.66258525 -0.7489865 ]
 [-0.7489865   0.66258525]]",[6.76951603 1.18839976],0.22188723,[[1.41393849 0.16848207]],0.4830682,False,False,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.43154782,"[[ 0.22842692]
 [-0.43373319]]","[[ 0.98980695 -0.14241558]
 [ 0.14241558  0.98980695]]",[6.7054677  1.17428739],0.9908249,[[ 1.16790293 -0.37988179]],0.42863223,False,True,True,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.6423934,"[[-0.54294395]
 [-0.12996476]]","[[-0.11091926 -0.99382942]
 [-0.99382942  0.11091926]]",[4.57639515 1.73397822],0.4531031,[[-1.00116228 -0.76034758]],0.6392235,True,False,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,1.0163131,"[[ 0.61125671]
 [-0.44781135]]","[[ 0.75237624 -0.65873362]
 [ 0.65873362  0.75237624]]",[7.19402516 1.50039116],0.13683556,[[ 1.62354376 -0.05339534]],0.5861311,False,False,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.593346,"[[ 0.16689057]
 [-0.4442276 ]]","[[ 0.99999897  0.00143351]
 [-0.00143351  0.99999897]]",[7.1608737  1.99047801],0.031182732,[[ 1.19837302 -0.88546695]],0.59334576,False,True,False,REFERENCE_STIM_707,inf,inf,False,False,False,False,False,False,False,False,True,0,707,inf,CRD009b,A1
0,0.704563,"[[-0.27188234]
 [-0.37565222]]","[[ 0.02020752 -0.99979581]
 [-0.99979581 -0.02020752]]",[4.523115 1.089679],0.6074877,[[-0.27058777 -1.67973183]],0.7041167,True,False,True,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
0,1.3629417,"[[ 0.73454531]
 [-1.1535924 ]]","[[ 0.94057134 -0.33959616]
 [ 0.33959616  0.94057134]]",[6.73606207 0.42686385],0.8035596,[[2.08870322 0.14849732]],0.6000678,False,False,True,REFERENCE_STIM_812,inf,inf,False,False,False,False,False,False,False,False,True,0,812,inf,CRD009b,A1
